domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_chat,direct,300,0.32286505542387894,1.0,0.6,0.0,1.0
calendar,deepseek_chat,plan_first,300,0.3826729033493739,0.9933333333333333,0.596,0.0,1.0
calendar,deepseek_chat,spec_first,300,0.45088758102922183,0.12666666666666668,0.07599999999999998,0.0,1.0
calendar,deepseek_reasoner,direct,300,0.3590032812045196,1.0,0.6,0.0,1.0
calendar,deepseek_reasoner,plan_first,300,0.3930856958945194,0.99,0.594,0.0,1.0
calendar,deepseek_reasoner,spec_first,300,0.49601483111918565,0.8466666666666667,0.5080000000000001,0.013333333333333334,0.9527579365079365
calendar,deepseek_v4_flash,direct,300,0.3809915141045172,1.0,0.6,0.0,1.0
calendar,deepseek_v4_flash,plan_first,300,0.3831210007169759,1.0,0.6,0.0,1.0
calendar,deepseek_v4_flash,spec_first,300,0.4917398742866841,0.8233333333333334,0.49399999999999994,0.03,0.9405555555555555
calendar,deepseek_v4_pro,direct,300,0.48912242770615366,0.9566666666666667,0.574,0.0,1.0
calendar,deepseek_v4_pro,plan_first,300,0.47056638888399555,0.9033333333333333,0.5419999999999999,0.0,1.0
calendar,deepseek_v4_pro,spec_first,300,0.5947967182969337,0.6833333333333333,0.41,0.023333333333333334,0.9119444444444446
crm_workflow,deepseek_chat,direct,300,0.39255245989533916,1.0,0.6,0.0,1.0
crm_workflow,deepseek_chat,plan_first,300,0.46477817360197227,1.0,0.6,0.0,1.0
crm_workflow,deepseek_chat,spec_first,300,0.5447871610063358,0.24333333333333335,0.146,0.0,1.0
crm_workflow,deepseek_reasoner,direct,300,0.4788053737266956,1.0,0.6,0.0,0.995
crm_workflow,deepseek_reasoner,plan_first,300,0.5294409423777441,0.9866666666666667,0.592,0.0,0.9983333333333333
crm_workflow,deepseek_reasoner,spec_first,300,0.5982952511448607,0.7966666666666666,0.4779999999999999,0.13333333333333333,0.7756084656084656
crm_workflow,deepseek_v4_flash,direct,300,0.4807816876641752,0.9966666666666667,0.598,0.0,1.0
crm_workflow,deepseek_v4_flash,plan_first,300,0.530594059606208,0.9933333333333333,0.596,0.0,1.0
crm_workflow,deepseek_v4_flash,spec_first,300,0.5943920142029241,0.85,0.51,0.14,0.7538888888888889
crm_workflow,deepseek_v4_pro,direct,300,0.571284497024839,0.96,0.576,0.0,1.0
crm_workflow,deepseek_v4_pro,plan_first,300,0.5971907806090402,0.9166666666666666,0.55,0.0,0.9983333333333333
crm_workflow,deepseek_v4_pro,spec_first,300,0.6617335089978447,0.66,0.39599999999999996,0.09666666666666666,0.8665079365079366
email,deepseek_chat,direct,300,0.4321229185331352,1.0,0.6,0.0,1.0
email,deepseek_chat,plan_first,300,0.4834952830966763,1.0,0.6,0.0,1.0
email,deepseek_chat,spec_first,300,0.554192773463705,0.24333333333333335,0.146,0.0,0.9859523809523809
email,deepseek_reasoner,direct,300,0.5275468563943796,1.0,0.6,0.0,1.0
email,deepseek_reasoner,plan_first,300,0.481216439555718,1.0,0.6,0.0,1.0
email,deepseek_reasoner,spec_first,300,0.5656423477897095,0.7966666666666666,0.47800000000000004,0.11333333333333333,0.7787698412698412
email,deepseek_v4_flash,direct,300,0.4681606080176884,1.0,0.6,0.0,1.0
email,deepseek_v4_flash,plan_first,300,0.5039624721897705,0.9966666666666667,0.598,0.0,1.0
email,deepseek_v4_flash,spec_first,300,0.5832803310360788,0.8133333333333334,0.48800000000000004,0.13,0.7681481481481481
email,deepseek_v4_pro,direct,300,0.5813604949805582,0.9633333333333334,0.578,0.0,1.0
email,deepseek_v4_pro,plan_first,300,0.590437123086403,0.9233333333333333,0.5539999999999999,0.0,1.0
email,deepseek_v4_pro,spec_first,300,0.6431614096088722,0.6166666666666667,0.37,0.1,0.8192460317460317
file_doc,deepseek_chat,direct,300,0.3575175504177052,1.0,0.6,0.0,1.0
file_doc,deepseek_chat,plan_first,300,0.4438436858405899,1.0,0.6,0.0,1.0
file_doc,deepseek_chat,spec_first,300,0.5402813414122608,0.15666666666666668,0.094,0.0,1.0
file_doc,deepseek_reasoner,direct,300,0.4621623501944877,1.0,0.6,0.0,1.0
file_doc,deepseek_reasoner,plan_first,300,0.4851149258415715,0.9933333333333333,0.5960000000000001,0.0,1.0
file_doc,deepseek_reasoner,spec_first,300,0.5716524029442187,0.8433333333333334,0.506,0.0,0.7707142857142858
file_doc,deepseek_v4_flash,direct,300,0.43425862478507515,1.0,0.6,0.0,1.0
file_doc,deepseek_v4_flash,plan_first,300,0.49368789980080197,1.0,0.6,0.0,1.0
file_doc,deepseek_v4_flash,spec_first,300,0.5669661526821642,0.86,0.516,0.0,0.7410119047619047
file_doc,deepseek_v4_pro,direct,300,0.611224960601485,0.9633333333333334,0.578,0.0,1.0
file_doc,deepseek_v4_pro,plan_first,300,0.6075296336222369,0.8933333333333333,0.5359999999999999,0.0,1.0
file_doc,deepseek_v4_pro,spec_first,300,0.6797946570619272,0.6666666666666666,0.4,0.0033333333333333335,0.8348809523809524
sheet_db,deepseek_chat,direct,300,0.3476297219292575,1.0,0.6,0.0,1.0
sheet_db,deepseek_chat,plan_first,300,0.41818840201193136,1.0,0.6,0.0,1.0
sheet_db,deepseek_chat,spec_first,300,0.5381520631930847,0.22666666666666666,0.13599999999999998,0.0,1.0
sheet_db,deepseek_reasoner,direct,300,0.4582877788705963,1.0,0.6,0.0,1.0
sheet_db,deepseek_reasoner,plan_first,300,0.47484299976109107,0.9933333333333333,0.596,0.0,1.0
sheet_db,deepseek_reasoner,spec_first,300,0.59032068423891,0.86,0.516,0.0,0.838531746031746
sheet_db,deepseek_v4_flash,direct,300,0.4596764481897406,1.0,0.6,0.0,1.0
sheet_db,deepseek_v4_flash,plan_first,300,0.4840361008063593,0.99,0.594,0.0,1.0
sheet_db,deepseek_v4_flash,spec_first,300,0.6007129294704339,0.8633333333333333,0.5179999999999999,0.0,0.838452380952381
sheet_db,deepseek_v4_pro,direct,300,0.6033435154095741,0.9733333333333334,0.584,0.0,1.0
sheet_db,deepseek_v4_pro,plan_first,300,0.5657600965027605,0.9266666666666666,0.556,0.0,1.0
sheet_db,deepseek_v4_pro,spec_first,300,0.6714045887456844,0.6833333333333333,0.41,0.0,0.8325
