model,agent,n,parsed,fallback,parse_rate,fallback_rate,mean_attempts,mean_latency_s,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,mean_prompt_chars,mean_raw_output_chars,repaired_rate,quarantine_recommended
deepseek_chat,direct,1500,1500,0,1.0,0.0,1.0,5.182537906733409,457.87,297.59933333333333,755.4693333333333,1971.144,1344.3093333333334,0.004,False
deepseek_chat,plan_first,1500,1500,0,1.0,0.0,1.0,6.25969391766663,465.87,372.00466666666665,837.8746666666667,1990.144,1668.334,0.0,False
deepseek_chat,spec_first,1500,1500,0,1.0,0.0,1.0,8.735060991400038,458.87,602.5873333333333,1061.4573333333333,1999.144,2752.233333333333,0.0,False
deepseek_reasoner,direct,1500,1435,65,0.9566666666666667,0.043333333333333335,1.0117728531855956,17.97934573774233,458.1371191135734,1114.3975069252078,1572.5346260387812,1971.7846260387812,1511.9224376731302,0.010666666666666666,False
deepseek_reasoner,plan_first,1500,1477,23,0.9846666666666667,0.015333333333333332,1.0,19.513478731133446,465.87,1304.5906666666667,1770.4606666666666,1990.144,1666.7466666666667,0.019333333333333334,False
deepseek_reasoner,spec_first,1500,1424,76,0.9493333333333334,0.050666666666666665,1.0,22.373173611666775,458.87,1667.7973333333334,2126.6673333333333,1999.144,2316.05,0.08533333333333333,False
deepseek_v4_flash,direct,1500,1484,16,0.9893333333333333,0.010666666666666666,1.0,18.02637982433337,457.87,1119.674,1577.544,1971.144,1494.2713333333334,0.012666666666666666,False
deepseek_v4_flash,plan_first,1500,1473,27,0.982,0.018,1.0,22.263068212733323,465.87,1314.0286666666666,1779.8986666666667,1990.144,1665.0113333333334,0.019333333333333334,False
deepseek_v4_flash,spec_first,1500,1423,77,0.9486666666666667,0.051333333333333335,1.0,24.85515545946658,458.87,1682.3453333333334,2141.2153333333335,1999.144,2306.268666666667,0.09866666666666667,False
deepseek_v4_pro,direct,1500,1378,122,0.9186666666666666,0.08133333333333333,1.0,59.139692375333375,457.87,1882.6053333333334,2340.4753333333333,1971.144,2103.420666666667,0.15866666666666668,False
deepseek_v4_pro,plan_first,1500,1407,93,0.938,0.062,1.0,56.35717933513334,465.87,1829.8446666666666,2295.7146666666667,1990.144,2083.806666666667,0.12266666666666666,False
deepseek_v4_pro,spec_first,1500,1079,421,0.7193333333333334,0.2806666666666667,1.0,66.89006482433332,458.87,2199.23,2658.1,1999.144,1767.1113333333333,0.30266666666666664,False
